time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
206.0,2,"[13, 14]",0,[],0,[],0,[],14,"[{'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}]",0
295.0,1,[14],1,[13],0,[],0,[],14,"[{'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}]",0
300.0,1,[14],0,[],0,[],0,[],15,"[{'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 300.0, 'finish_time': 453.0}]",0
304.0,0,[],1,[14],0,[],1,[15],14,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 300.0, 'finish_time': 453.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 304.0, 'finish_time': 457.0}, {'job_id': 9, 'nodes': [9, 10, 11, 12], 'starting_time': 304.0, 'finish_time': 451.0}, {'job_id': 16, 'nodes': [14, 15], 'starting_time': 309.0, 'finish_time': 456.0}]",0
309.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 300.0, 'finish_time': 453.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 304.0, 'finish_time': 457.0}, {'job_id': 9, 'nodes': [9, 10, 11, 12], 'starting_time': 304.0, 'finish_time': 451.0}, {'job_id': 16, 'nodes': [14, 15], 'starting_time': 309.0, 'finish_time': 456.0}]",0
451.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 300.0, 'finish_time': 453.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 304.0, 'finish_time': 457.0}, {'job_id': 16, 'nodes': [14, 15], 'starting_time': 309.0, 'finish_time': 456.0}, {'job_id': 14, 'nodes': [9, 10, 11, 12], 'starting_time': 451.0, 'finish_time': 603.0}]",0
453.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 8, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 304.0, 'finish_time': 457.0}, {'job_id': 16, 'nodes': [14, 15], 'starting_time': 309.0, 'finish_time': 456.0}, {'job_id': 14, 'nodes': [9, 10, 11, 12], 'starting_time': 451.0, 'finish_time': 603.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 453.0, 'finish_time': 606.0}]",0
456.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 8, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 304.0, 'finish_time': 457.0}, {'job_id': 14, 'nodes': [9, 10, 11, 12], 'starting_time': 451.0, 'finish_time': 603.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 453.0, 'finish_time': 606.0}, {'job_id': 41, 'nodes': [14, 15], 'starting_time': 456.0, 'finish_time': 603.0}]",0
457.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 14, 'nodes': [9, 10, 11, 12], 'starting_time': 451.0, 'finish_time': 603.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 453.0, 'finish_time': 606.0}, {'job_id': 41, 'nodes': [14, 15], 'starting_time': 456.0, 'finish_time': 603.0}, {'job_id': 12, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 457.0, 'finish_time': 607.0}]",0
603.0,0,[],0,[],0,[],1,[15],15,"[{'job_id': 10, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 453.0, 'finish_time': 606.0}, {'job_id': 12, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 457.0, 'finish_time': 607.0}, {'job_id': 13, 'nodes': [9, 10, 11, 12, 14], 'starting_time': 603.0, 'finish_time': 753.0}]",0
606.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 12, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 457.0, 'finish_time': 607.0}, {'job_id': 13, 'nodes': [9, 10, 11, 12, 14], 'starting_time': 603.0, 'finish_time': 753.0}, {'job_id': 15, 'nodes': [0, 1, 2], 'starting_time': 606.0, 'finish_time': 755.0}, {'job_id': 24, 'nodes': [3, 13, 15], 'starting_time': 606.0, 'finish_time': 756.0}]",0
607.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 13, 'nodes': [9, 10, 11, 12, 14], 'starting_time': 603.0, 'finish_time': 753.0}, {'job_id': 15, 'nodes': [0, 1, 2], 'starting_time': 606.0, 'finish_time': 755.0}, {'job_id': 24, 'nodes': [3, 13, 15], 'starting_time': 606.0, 'finish_time': 756.0}, {'job_id': 17, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 607.0, 'finish_time': 758.0}]",0
753.0,0,[],0,[],0,[],1,[14],15,"[{'job_id': 15, 'nodes': [0, 1, 2], 'starting_time': 606.0, 'finish_time': 755.0}, {'job_id': 24, 'nodes': [3, 13, 15], 'starting_time': 606.0, 'finish_time': 756.0}, {'job_id': 17, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 607.0, 'finish_time': 758.0}, {'job_id': 18, 'nodes': [9, 10, 11, 12], 'starting_time': 753.0, 'finish_time': 902.0}]",0
755.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 24, 'nodes': [3, 13, 15], 'starting_time': 606.0, 'finish_time': 756.0}, {'job_id': 17, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 607.0, 'finish_time': 758.0}, {'job_id': 18, 'nodes': [9, 10, 11, 12], 'starting_time': 753.0, 'finish_time': 902.0}, {'job_id': 19, 'nodes': [0, 1, 2, 14], 'starting_time': 755.0, 'finish_time': 904.0}]",0
756.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 17, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 607.0, 'finish_time': 758.0}, {'job_id': 18, 'nodes': [9, 10, 11, 12], 'starting_time': 753.0, 'finish_time': 902.0}, {'job_id': 19, 'nodes': [0, 1, 2, 14], 'starting_time': 755.0, 'finish_time': 904.0}, {'job_id': 40, 'nodes': [3, 13, 15], 'starting_time': 756.0, 'finish_time': 909.0}]",0
758.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 18, 'nodes': [9, 10, 11, 12], 'starting_time': 753.0, 'finish_time': 902.0}, {'job_id': 19, 'nodes': [0, 1, 2, 14], 'starting_time': 755.0, 'finish_time': 904.0}, {'job_id': 40, 'nodes': [3, 13, 15], 'starting_time': 756.0, 'finish_time': 909.0}, {'job_id': 20, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 758.0, 'finish_time': 911.0}]",0
902.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 19, 'nodes': [0, 1, 2, 14], 'starting_time': 755.0, 'finish_time': 904.0}, {'job_id': 40, 'nodes': [3, 13, 15], 'starting_time': 756.0, 'finish_time': 909.0}, {'job_id': 20, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 758.0, 'finish_time': 911.0}, {'job_id': 21, 'nodes': [9, 10, 11, 12], 'starting_time': 902.0, 'finish_time': 1050.0}]",0
904.0,0,[],0,[],0,[],2,"[2, 14]",14,"[{'job_id': 40, 'nodes': [3, 13, 15], 'starting_time': 756.0, 'finish_time': 909.0}, {'job_id': 20, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 758.0, 'finish_time': 911.0}, {'job_id': 21, 'nodes': [9, 10, 11, 12], 'starting_time': 902.0, 'finish_time': 1050.0}, {'job_id': 43, 'nodes': [0, 1], 'starting_time': 904.0, 'finish_time': 1055.0}]",0
909.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 20, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 758.0, 'finish_time': 911.0}, {'job_id': 21, 'nodes': [9, 10, 11, 12], 'starting_time': 902.0, 'finish_time': 1050.0}, {'job_id': 43, 'nodes': [0, 1], 'starting_time': 904.0, 'finish_time': 1055.0}, {'job_id': 22, 'nodes': [2, 3, 13, 14, 15], 'starting_time': 909.0, 'finish_time': 1059.0}]",0
911.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 21, 'nodes': [9, 10, 11, 12], 'starting_time': 902.0, 'finish_time': 1050.0}, {'job_id': 43, 'nodes': [0, 1], 'starting_time': 904.0, 'finish_time': 1055.0}, {'job_id': 22, 'nodes': [2, 3, 13, 14, 15], 'starting_time': 909.0, 'finish_time': 1059.0}, {'job_id': 23, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 911.0, 'finish_time': 1057.0}]",0
1050.0,0,[],0,[],0,[],4,"[9, 10, 11, 12]",12,"[{'job_id': 43, 'nodes': [0, 1], 'starting_time': 904.0, 'finish_time': 1055.0}, {'job_id': 22, 'nodes': [2, 3, 13, 14, 15], 'starting_time': 909.0, 'finish_time': 1059.0}, {'job_id': 23, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 911.0, 'finish_time': 1057.0}]",0
1055.0,0,[],0,[],0,[],1,[12],15,"[{'job_id': 22, 'nodes': [2, 3, 13, 14, 15], 'starting_time': 909.0, 'finish_time': 1059.0}, {'job_id': 23, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 911.0, 'finish_time': 1057.0}, {'job_id': 25, 'nodes': [0, 1, 9, 10, 11], 'starting_time': 1055.0, 'finish_time': 1203.0}]",0
