type,starting_time,finish_time,allocated_resources,job_id
idle,0.0,2.0,0 1 2 3,-1
idle,0.0,3.0,4 5 6 7 8,-1
idle,0.0,4.0,9 10 11 12,-1
idle,0.0,21.0,13 14,-1
idle,0.0,30.0,15,-1
computing,2.0,151.0,0 1 2 3,1
computing,3.0,153.0,4 5 6 7 8,2
computing,4.0,154.0,9 10 11 12,3
computing,21.0,171.0,13 14,11
switching_off,30.0,31.0,15,-2
sleeping,31.0,154.0,15,-4
idle,151.0,151.0,0 1 2 3,-1
computing,151.0,300.0,0 1 2 3,4
idle,153.0,153.0,4 5 6 7 8,-1
computing,153.0,304.0,4 5 6 7 8,5
idle,154.0,155.0,9 10 11 12,-1
switching_on,154.0,155.0,15,-3
idle,155.0,155.0,15,-1
computing,155.0,305.0,9 10 11 12 15,6
idle,171.0,201.0,13 14,-1
switching_off,201.0,202.0,13 14,-2
sleeping,202.0,300.0,13,-4
sleeping,202.0,305.0,14,-4
idle,300.0,301.0,0 1 2 3,-1
switching_on,300.0,301.0,13,-3
idle,301.0,301.0,13,-1
computing,301.0,454.0,0 1 2 3 13,7
idle,304.0,304.0,4 5 6 7 8,-1
computing,304.0,457.0,4 5 6 7 8,8
idle,305.0,305.0,9 10 11 12,-1
idle,305.0,306.0,15,-1
switching_on,305.0,306.0,14,-3
computing,305.0,452.0,9 10 11 12,9
idle,306.0,306.0,14,-1
computing,306.0,453.0,14 15,16
idle,452.0,453.0,9 10 11 12,-1
idle,453.0,453.0,14,-1
idle,453.0,483.0,15,-1
computing,453.0,606.0,9 10 11 12 14,10
idle,454.0,454.0,0 1 2 3 13,-1
computing,454.0,604.0,0 1 2 3 13,12
idle,457.0,457.0,4 5 6 7 8,-1
computing,457.0,607.0,4 5 6 7 8,13
switching_off,483.0,484.0,15,-2
sleeping,484.0,604.0,15,-4
idle,604.0,604.0,0 1 2 3,-1
idle,604.0,605.0,13,-1
switching_on,604.0,605.0,15,-3
computing,604.0,756.0,0 1 2 3,14
idle,605.0,605.0,15,-1
computing,605.0,752.0,13 15,41
idle,606.0,606.0,9 10 11 12 14,-1
computing,606.0,755.0,9 10 11,15
computing,606.0,757.0,12 14,43
idle,607.0,607.0,4 5 6 7 8,-1
computing,607.0,758.0,4 5 6 7 8,17
idle,752.0,755.0,13,-1
idle,752.0,757.0,15,-1
idle,755.0,755.0,9 10 11,-1
computing,755.0,904.0,9 10 11 13,18
idle,756.0,756.0,0 1 2 3,-1
computing,756.0,905.0,0 1 2 3,19
idle,757.0,757.0,12 14,-1
computing,757.0,907.0,12 14 15,24
idle,758.0,758.0,4 5 6 7 8,-1
computing,758.0,911.0,4 5 6 7 8,20
idle,904.0,904.0,9 10 11 13,-1
computing,904.0,1052.0,9 10 11 13,21
idle,905.0,905.0,0 1,-1
idle,905.0,907.0,2 3,-1
computing,905.0,1056.0,0 1,57
idle,907.0,907.0,12 14 15,-1
computing,907.0,1057.0,2 3 12 14 15,22
idle,911.0,911.0,4 5 6 7 8,-1
computing,911.0,1057.0,4 5 6 7 8,23
idle,1052.0,1056.0,9 10 11,-1
idle,1052.0,1057.0,13,-1
idle,1056.0,1056.0,0 1,-1
computing,1056.0,1204.0,0 1 9 10 11,25
idle,1057.0,1057.0,2 3 4 5 6 7 8 12 14 15,-1
computing,1057.0,1207.0,12 13 14 15,29
computing,1057.0,1210.0,2 3 4 5 6 7 8,26
idle,1204.0,1204.0,0 1 9 10 11,-1
computing,1204.0,1352.0,0 1 9 10 11,27
idle,1207.0,1207.0,12 13 14 15,-1
computing,1207.0,1356.0,12 13 14 15,31
idle,1210.0,1210.0,2 3 4 5 6,-1
idle,1210.0,1240.0,7 8,-1
computing,1210.0,1361.0,2 3 4 5 6,28
switching_off,1240.0,1241.0,7 8,-2
sleeping,1241.0,1352.0,7 8,-4
idle,1352.0,1353.0,0 1 9 10 11,-1
switching_on,1352.0,1353.0,7 8,-3
idle,1353.0,1353.0,7 8,-1
computing,1353.0,1501.0,0 1 7 8 9 10 11,30
idle,1356.0,1356.0,12 13 14 15,-1
computing,1356.0,1506.0,12 13 14 15,38
idle,1361.0,1361.0,2 3 4 5 6,-1
computing,1361.0,1516.0,2 3 4 5 6,32
idle,1501.0,1501.0,0 1 7 8 9,-1
idle,1501.0,1506.0,10 11,-1
computing,1501.0,1652.0,0 1 7 8 9,33
idle,1506.0,1506.0,12 13 14,-1
idle,1506.0,1536.0,15,-1
computing,1506.0,1657.0,10 11 12 13 14,34
idle,1516.0,1516.0,2 3 4 5 6,-1
computing,1516.0,1666.0,2 3 4 5 6,35
switching_off,1536.0,1537.0,15,-2
sleeping,1537.0,1657.0,15,-4
idle,1652.0,1652.0,0 1 7 8 9,-1
computing,1652.0,1802.0,0 1 7 8 9,36
idle,1657.0,1658.0,10 11 12 13 14,-1
switching_on,1657.0,1658.0,15,-3
