type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0.0,2.0,0 1 2 3,-1,0.0
idle,0.0,3.0,4 5 6 7 8,-1,0.0
idle,0.0,4.0,9 10 11 12,-1,0.0
idle,0.0,21.0,13 14,-1,0.0
idle,0.0,30.0,15,-1,0.0
computing,2.0,151.0,0 1 2 3,1,2.0
computing,3.0,153.0,4 5 6 7 8,2,3.0
computing,4.0,154.0,9 10 11 12,3,4.0
computing,21.0,171.0,13 14,11,21.0
switching_off,30.0,35.0,15,-2,30.0
sleeping,35.0,149.0,15,-4,35.0
switching_on,149.0,154.0,15,-3,149.0
idle,151.0,151.0,0 1 2 3,-1,151.0
computing,151.0,300.0,0 1 2 3,4,11.0
idle,153.0,153.0,4 5 6 7 8,-1,153.0
computing,153.0,304.0,4 5 6 7 8,5,11.0
idle,154.0,154.0,9 10 11 12 15,-1,154.0
computing,154.0,304.0,9 10 11 12 15,6,11.0
idle,171.0,201.0,13 14,-1,171.0
switching_off,201.0,206.0,13 14,-2,201.0
sleeping,206.0,295.0,13,-4,206.0
sleeping,206.0,304.0,14,-4,206.0
switching_on,295.0,300.0,13,-3,295.0
idle,300.0,300.0,0 1 2 3 13,-1,300.0
computing,300.0,453.0,0 1 2 3 13,7,12.0
idle,304.0,304.0,4 5 6 7 8 9 10 11 12,-1,304.0
idle,304.0,309.0,15,-1,304.0
switching_on,304.0,309.0,14,-3,304.0
computing,304.0,451.0,9 10 11 12,9,19.0
computing,304.0,457.0,4 5 6 7 8,8,18.0
idle,309.0,309.0,14,-1,309.0
computing,309.0,456.0,14 15,16,26.0
idle,451.0,451.0,9 10 11 12,-1,451.0
computing,451.0,603.0,9 10 11 12,14,23.0
idle,453.0,453.0,0 1 2 3 13,-1,453.0
computing,453.0,606.0,0 1 2 3 13,10,20.0
idle,456.0,456.0,14 15,-1,456.0
computing,456.0,603.0,14 15,41,70.0
idle,457.0,457.0,4 5 6 7 8,-1,457.0
computing,457.0,607.0,4 5 6 7 8,12,21.0
idle,603.0,603.0,9 10 11 12 14,-1,603.0
idle,603.0,606.0,15,-1,603.0
computing,603.0,753.0,9 10 11 12 14,13,22.0
idle,606.0,606.0,0 1 2 3 13,-1,606.0
computing,606.0,755.0,0 1 2,15,26.0
computing,606.0,756.0,3 13 15,24,40.0
idle,607.0,607.0,4 5 6 7 8,-1,607.0
computing,607.0,758.0,4 5 6 7 8,17,31.0
idle,753.0,753.0,9 10 11 12,-1,753.0
idle,753.0,755.0,14,-1,753.0
computing,753.0,902.0,9 10 11 12,18,34.0
idle,755.0,755.0,0 1 2,-1,755.0
computing,755.0,904.0,0 1 2 14,19,35.0
idle,756.0,756.0,3 13 15,-1,756.0
computing,756.0,909.0,3 13 15,40,69.0
idle,758.0,758.0,4 5 6 7 8,-1,758.0
computing,758.0,911.0,4 5 6 7 8,20,35.0
idle,902.0,902.0,9 10 11 12,-1,902.0
computing,902.0,1050.0,9 10 11 12,21,38.0
idle,904.0,904.0,0 1,-1,904.0
idle,904.0,909.0,2 14,-1,904.0
computing,904.0,1055.0,0 1,43,76.0
idle,909.0,909.0,3 13 15,-1,909.0
computing,909.0,1059.0,2 3 13 14 15,22,38.0
idle,911.0,911.0,4 5 6 7 8,-1,911.0
computing,911.0,1057.0,4 5 6 7 8,23,39.0
idle,1050.0,1055.0,9 10 11,-1,1050.0
idle,1050.0,1059.0,12,-1,1050.0
idle,1055.0,1055.0,0 1,-1,1055.0
computing,1055.0,1203.0,0 1 9 10 11,25,44.0
idle,1057.0,1057.0,4 5 6 7,-1,1057.0
idle,1057.0,1059.0,8,-1,1057.0
computing,1057.0,1207.0,4 5 6 7,29,48.0
idle,1059.0,1059.0,2 3 13 14 15,-1,1059.0
computing,1059.0,1212.0,2 3 8 12 13 14 15,26,45.0
idle,1203.0,1203.0,0 1 9 10 11,-1,1203.0
computing,1203.0,1351.0,0 1 9 10 11,27,45.0
idle,1207.0,1207.0,4 5 6 7,-1,1207.0
computing,1207.0,1356.0,4 5 6 7,31,52.0
idle,1212.0,1212.0,2 3 8 12 13,-1,1212.0
idle,1212.0,1242.0,14 15,-1,1212.0
computing,1212.0,1363.0,2 3 8 12 13,28,48.0
switching_off,1242.0,1247.0,14 15,-2,1242.0
sleeping,1247.0,1346.0,14 15,-4,1247.0
switching_on,1346.0,1351.0,14 15,-3,1346.0
idle,1351.0,1351.0,0 1 9 10 11 14 15,-1,1351.0
computing,1351.0,1499.0,0 1 9 10 11 14 15,30,50.0
idle,1356.0,1356.0,4 5 6 7,-1,1356.0
computing,1356.0,1506.0,4 5 6 7,38,67.0
idle,1363.0,1363.0,2 3 8 12 13,-1,1363.0
computing,1363.0,1518.0,2 3 8 12 13,32,55.0
idle,1499.0,1499.0,0 1 9 10 11,-1,1499.0
idle,1499.0,1506.0,14,-1,1499.0
idle,1499.0,1529.0,15,-1,1499.0
computing,1499.0,1650.0,0 1 9 10 11,33,59.0
idle,1506.0,1506.0,4 5 6 7,-1,1506.0
computing,1506.0,1657.0,4 5 6 7 14,34,60.0
idle,1518.0,1518.0,2 3 8 12 13,-1,1518.0
computing,1518.0,1668.0,2 3 8 12 13,35,62.0
switching_off,1529.0,1534.0,15,-2,1529.0
sleeping,1534.0,1652.0,15,-4,1534.0
idle,1650.0,1650.0,0 1 9 10 11,-1,1650.0
computing,1650.0,1800.0,0 1 9 10 11,36,63.0
switching_on,1652.0,1657.0,15,-3,1652.0
idle,1657.0,1657.0,4 5 6 7 14 15,-1,1657.0
computing,1657.0,1805.0,4 5 6 7 14 15,37,67.0
idle,1668.0,1668.0,2 3 8 12 13,-1,1668.0
computing,1668.0,1818.0,2 3 8 12 13,39,68.0
idle,1800.0,1800.0,0 1 9 10,-1,1800.0
idle,1800.0,1805.0,11,-1,1800.0
computing,1800.0,1952.0,0 1 9 10,42,70.0
idle,1805.0,1805.0,4 5 6 7 14 15,-1,1805.0
computing,1805.0,1953.0,4 5 6 7,44,76.0
computing,1805.0,1954.0,11 14 15,49,86.0
idle,1818.0,1818.0,2 3 8 12 13,-1,1818.0
computing,1818.0,1966.0,2 3 8 12 13,45,82.0
idle,1952.0,1952.0,0 1,-1,1952.0
idle,1952.0,1953.0,9,-1,1952.0
idle,1952.0,1954.0,10,-1,1952.0
computing,1952.0,2103.0,0 1,57,113.0
idle,1953.0,1953.0,4 5 6 7,-1,1953.0
computing,1953.0,2099.0,4 5 6 7 9,46,83.0
idle,1954.0,1954.0,11 14 15,-1,1954.0
computing,1954.0,2099.0,10 11 14 15,48,85.0
idle,1966.0,1966.0,2 3 8 12 13,-1,1966.0
computing,1966.0,2114.0,2 3 8 12 13,47,84.0
idle,2099.0,2099.0,4 5 6 7 9 10 11 14 15,-1,2099.0
computing,2099.0,2249.0,4 5 6 7,50,91.0
computing,2099.0,2250.0,9 10 11 14 15,51,93.0
idle,2103.0,2103.0,0 1,-1,2103.0
computing,2103.0,2253.0,0 1,65,129.0
idle,2114.0,2114.0,2 3 8 12,-1,2114.0
idle,2114.0,2144.0,13,-1,2114.0
computing,2114.0,2264.0,2 3 8 12,52,100.0
switching_off,2144.0,2149.0,13,-2,2144.0
sleeping,2149.0,2259.0,13,-4,2149.0
idle,2249.0,2249.0,4 5 6 7,-1,2249.0
computing,2249.0,2398.0,4 5 6 7,53,100.0
idle,2250.0,2250.0,9 10 11 14,-1,2250.0
idle,2250.0,2253.0,15,-1,2250.0
computing,2250.0,2399.0,9 10 11 14,54,102.0
idle,2253.0,2253.0,0 1,-1,2253.0
computing,2253.0,2402.0,0 1 15,58,116.0
switching_on,2259.0,2264.0,13,-3,2259.0
idle,2264.0,2264.0,2 3 8 12 13,-1,2264.0
computing,2264.0,2414.0,2 3 8 12 13,55,103.0
idle,2398.0,2398.0,4 5 6,-1,2398.0
idle,2398.0,2399.0,7,-1,2398.0
computing,2398.0,2548.0,4 5 6,66,129.0
idle,2399.0,2399.0,9 10 11 14,-1,2399.0
computing,2399.0,2550.0,7 9 10 11 14,56,112.0
idle,2402.0,2402.0,0 1 15,-1,2402.0
computing,2402.0,2553.0,0 1 15,75,143.0
idle,2414.0,2414.0,2 3 8 12 13,-1,2414.0
computing,2414.0,2565.0,2 3 8 12 13,59,122.0
idle,2548.0,2548.0,4 5 6,-1,2548.0
computing,2548.0,2695.0,4 5 6,91,186.0
idle,2550.0,2550.0,7 9 10 11 14,-1,2550.0
computing,2550.0,2699.0,7 9 10 11 14,60,123.0
idle,2553.0,2565.0,0 1 15,-1,2553.0
idle,2565.0,2565.0,2 3 8 12 13,-1,2565.0
computing,2565.0,2713.0,0 1 2 3,61,126.0
computing,2565.0,2719.0,8 12 13 15,62,126.0
idle,2695.0,2699.0,4 5 6,-1,2695.0
idle,2699.0,2699.0,7,-1,2699.0
idle,2699.0,2713.0,9 10,-1,2699.0
idle,2699.0,2719.0,11,-1,2699.0
idle,2699.0,2729.0,14,-1,2699.0
computing,2699.0,2847.0,4 5 6 7,63,126.0
idle,2713.0,2713.0,0 1 2 3,-1,2713.0
computing,2713.0,2862.0,0 1 2 3 9 10,64,127.0
idle,2719.0,2719.0,8 12 13,-1,2719.0
idle,2719.0,2749.0,15,-1,2719.0
computing,2719.0,2867.0,8 11 12 13,67,131.0
switching_off,2729.0,2734.0,14,-2,2729.0
sleeping,2734.0,3308.0,14,-4,2734.0
switching_off,2749.0,2754.0,15,-2,2749.0
sleeping,2754.0,3308.0,15,-4,2754.0
idle,2847.0,2847.0,4 5 6 7,-1,2847.0
computing,2847.0,2997.0,4 5 6 7,68,131.0
idle,2862.0,2862.0,0 1 2 3,-1,2862.0
idle,2862.0,2867.0,9 10,-1,2862.0
computing,2862.0,3014.0,0 1 2 3,69,132.0
idle,2867.0,2867.0,8 11 12,-1,2867.0
idle,2867.0,2897.0,13,-1,2867.0
computing,2867.0,3014.0,8 9 10 11 12,70,133.0
switching_off,2897.0,2902.0,13,-2,2897.0
sleeping,2902.0,2992.0,13,-4,2902.0
switching_on,2992.0,2997.0,13,-3,2992.0
idle,2997.0,2997.0,4 5 6 7 13,-1,2997.0
computing,2997.0,3145.0,4 5 6 7 13,71,133.0
idle,3014.0,3014.0,0 1 2 3 8 9 10 11 12,-1,3014.0
computing,3014.0,3162.0,0 1 2 3 8,72,133.0
computing,3014.0,3167.0,9 10 11 12,73,140.0
idle,3145.0,3145.0,4 5 6 7 13,-1,3145.0
computing,3145.0,3297.0,4 5 6 7 13,74,141.0
idle,3162.0,3162.0,0 1 2 3 8,-1,3162.0
computing,3162.0,3313.0,0 1 2 3 8,76,148.0
idle,3167.0,3167.0,9 10 11 12,-1,3167.0
computing,3167.0,3320.0,9 10 11 12,77,153.0
idle,3297.0,3297.0,4 5 6 7 13,-1,3297.0
computing,3297.0,3444.0,4 5 6 7 13,78,155.0
switching_on,3308.0,3313.0,14 15,-3,3308.0
idle,3313.0,3313.0,0 1 2 3 8 14 15,-1,3313.0
computing,3313.0,3465.0,0 1 2 3 8 14 15,79,159.0
idle,3320.0,3320.0,9 10 11 12,-1,3320.0
computing,3320.0,3469.0,9 10 11 12,80,160.0
idle,3444.0,3444.0,4 5 6 7 13,-1,3444.0
computing,3444.0,3594.0,4 5 6 7 13,81,161.0
idle,3465.0,3465.0,0 1 2 3 8,-1,3465.0
idle,3465.0,3469.0,14,-1,3465.0
idle,3465.0,3495.0,15,-1,3465.0
computing,3465.0,3619.0,0 1 2 3 8,82,167.0
idle,3469.0,3469.0,9 10 11 12,-1,3469.0
computing,3469.0,3622.0,9 10 11 12 14,83,169.0
switching_off,3495.0,3500.0,15,-2,3495.0
sleeping,3500.0,3617.0,15,-4,3500.0
idle,3594.0,3594.0,4 5 6 7,-1,3594.0
idle,3594.0,3622.0,13,-1,3594.0
computing,3594.0,3742.0,4 5 6 7,84,171.0
switching_on,3617.0,3622.0,15,-3,3617.0
idle,3619.0,3619.0,0 1 2 3,-1,3619.0
idle,3619.0,3622.0,8,-1,3619.0
computing,3619.0,3774.0,0 1 2 3,85,172.0
idle,3622.0,3622.0,9 10 11 12 14 15,-1,3622.0
computing,3622.0,3771.0,8 9 10 11,86,172.0
computing,3622.0,3772.0,12 13 14 15,87,174.0
idle,3742.0,3771.0,4 5 6 7,-1,3742.0
idle,3771.0,3771.0,8 9,-1,3771.0
idle,3771.0,3772.0,10 11,-1,3771.0
computing,3771.0,3919.0,4 5 6 7 8 9,88,177.0
idle,3772.0,3772.0,12 13 14 15,-1,3772.0
computing,3772.0,3926.0,10 11 12 13 14 15,89,181.0
idle,3774.0,3774.0,0 1 2 3,-1,3774.0
computing,3774.0,3925.0,0 1 2 3,90,184.0
idle,3919.0,3919.0,4 5 6 7 8 9,-1,3919.0
computing,3919.0,4067.0,4 5 6 7 8 9,92,190.0
idle,3925.0,3925.0,0 1 2 3,-1,3925.0
computing,3925.0,4075.0,0 1 2 3,93,190.0
idle,3926.0,3926.0,10 11 12 13 14 15,-1,3926.0
computing,3926.0,4076.0,10 11 12 13 14 15,94,192.0
idle,4067.0,4067.0,4 5 6 7 8,-1,4067.0
idle,4067.0,4075.0,9,-1,4067.0
computing,4067.0,4215.0,4 5 6 7 8,95,192.0
idle,4075.0,4075.0,0 1 2 3,-1,4075.0
computing,4075.0,4223.0,0 1 2 3 9,96,193.0
idle,4076.0,4076.0,10 11 12 13 14,-1,4076.0
idle,4076.0,4106.0,15,-1,4076.0
computing,4076.0,4228.0,10 11 12 13 14,97,196.0
switching_off,4106.0,4111.0,15,-2,4106.0
sleeping,4111.0,4111.0,15,-4,4111.0
idle,4215.0,4215.0,4 5 6 7,-1,4215.0
idle,4215.0,4223.0,8,-1,4215.0
computing,4215.0,4363.0,4 5 6 7,98,197.0
idle,4223.0,4223.0,0 1 2 3,-1,4223.0
idle,4223.0,4228.0,9,-1,4223.0
computing,4223.0,4372.0,0 1 2 3 8,99,198.0
idle,4228.0,4228.0,10 11 12,-1,4228.0
idle,4228.0,4258.0,13 14,-1,4228.0
computing,4228.0,4377.0,9 10 11 12,100,204.0
switching_off,4258.0,4263.0,13 14,-2,4258.0
sleeping,4263.0,4263.0,13 14,-4,4263.0
idle,4363.0,4393.0,4 5 6 7,-1,4363.0
idle,4372.0,4402.0,0 1 2 3 8,-1,4372.0
idle,4377.0,4407.0,9 10 11 12,-1,4377.0
switching_off,4393.0,4398.0,4 5 6 7,-2,4393.0
sleeping,4398.0,4398.0,4 5 6 7,-4,4398.0
switching_off,4402.0,4407.0,0 1 2 3 8,-2,4402.0
sleeping,4407.0,4407.0,0 1 2 3 8,-4,4407.0
switching_off,4407.0,4412.0,9 10 11 12,-2,4407.0
sleeping,4412.0,4412.0,9 10 11 12,-4,4412.0
