dvfs_mode,state,start_time,finish_time,nodes,job_id
base,active,955.0,1006.0,0 1 3 7 8 15,81.0
base,active,955.0,1006.0,6 9 11,87.0
base,active,958.0,1013.0,10 12 13 14,82.0
base,active,962.0,1014.0,2 4 5,89.0
base,active,1006.0,1054.0,7 8 9 11 15,84.0
base,active,1006.0,1055.0,0 1 3 6,83.0
base,active,1013.0,1065.0,10 12 13 14,86.0
base,active,1014.0,1065.0,2 4 5,90.0
base,active,1054.0,1106.0,7 8 9 11 15,88.0
base,active,1055.0,1102.0,0 1 3 6,92.0
base,active,1065.0,1113.0,2 4 5,93.0
base,active,1065.0,1116.0,10 12 13 14,94.0
base,active,1102.0,1106.0,6,-1.0
base,active,1102.0,1154.0,0 1 3,95.0
base,active,1106.0,1152.0,9 11 15,97.0
base,active,1106.0,1155.0,6 7 8,96.0
base,active,1113.0,1116.0,2 4 5,-1.0
base,active,1116.0,1146.0,13 14,-1.0
base,active,1116.0,1164.0,2 4 5 10 12,98.0
base,switching_off,1146.0,1151.0,13 14,-2.0
base,sleeping,1151.0,1204.0,13 14,-4.0
base,active,1152.0,1203.0,9 11 15,99.0
base,active,1154.0,1204.0,0 1 3,100.0
base,active,1155.0,1185.0,6 7 8,-1.0
base,active,1164.0,1194.0,2 4 5 10 12,-1.0
base,switching_off,1185.0,1190.0,6 7 8,-2.0
base,sleeping,1190.0,1204.0,6 7 8,-4.0
base,switching_off,1194.0,1199.0,2 4 5 10 12,-2.0
base,sleeping,1199.0,1204.0,2 4 5 10 12,-4.0
base,active,1203.0,1204.0,9 11 15,-1.0
