time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
0,0,0,0,16,0,0
1,0,0,0,3,13,0
23,0,0,0,0,16,0
151,0,0,0,1,15,0
153,0,0,0,4,12,0
172,0,0,0,2,14,0
202,0,0,0,0,16,0
304,0,0,0,0,16,0
305,0,0,0,0,16,0
320,0,0,0,0,16,0
347,0,0,0,0,16,0
455,0,0,0,0,16,0
459,0,0,0,0,16,0
470,0,0,0,2,14,0
496,0,0,0,0,16,0
605,0,0,0,1,15,0
610,0,0,0,2,14,0
619,0,0,0,0,16,0
644,0,0,0,2,14,0
674,0,0,2,0,14,0
675,2,0,0,0,14,0
758,0,2,0,3,11,0
759,0,0,0,0,16,0
760,0,0,0,0,16,0
769,0,0,0,0,16,0
793,0,0,0,0,16,0
907,0,0,0,0,16,0
912,0,0,0,0,16,0
915,0,0,0,0,16,0
940,0,0,0,2,14,0
970,0,0,2,0,14,0
971,2,0,0,0,14,0
1056,0,2,0,3,11,0
1057,0,0,0,2,14,0
1063,0,0,0,1,15,0
1067,0,0,0,1,15,0
1087,0,0,1,0,15,0
1088,1,0,0,0,15,0
1208,0,1,0,5,10,0
1209,0,0,0,0,16,0
1211,0,0,0,0,16,0
1219,0,0,0,0,16,0
1355,0,0,0,0,16,0
1363,0,0,0,1,15,0
1368,0,0,0,4,12,0
1372,0,0,0,0,16,0
1503,0,0,0,4,12,0
1507,0,0,0,1,15,0
1511,0,0,0,1,15,0
1520,0,0,0,0,16,0
1656,0,0,0,0,16,0
1661,0,0,0,0,16,0
1669,0,0,0,0,16,0
1670,0,0,0,2,14,0
1700,0,0,2,0,14,0
1701,2,0,0,0,14,0
1803,0,2,0,3,11,0
1804,0,0,0,0,16,0
1807,0,0,0,2,14,0
1810,0,0,0,2,14,0
1818,0,0,0,1,15,0
1820,0,0,0,0,16,0
1954,0,0,0,0,16,0
1960,0,0,0,1,15,0
1968,0,0,0,5,11,0
1969,0,0,0,2,14,0
1998,0,0,1,1,14,0
1999,1,0,1,0,14,0
2000,2,0,0,0,14,0
2106,1,1,0,5,9,0
2107,1,0,0,2,13,0
2110,0,1,0,5,10,0
2111,0,0,0,2,14,0
2114,0,0,0,0,16,0
2258,0,0,0,0,16,0
2261,0,0,0,0,16,0
2263,0,0,0,0,16,0
2264,0,0,0,3,13,0
2294,0,0,3,0,13,0
2295,3,0,0,0,13,0
2407,2,1,0,4,9,0
2408,2,0,0,0,14,0
2410,2,0,0,0,14,0
2412,1,1,0,5,9,0
2413,1,0,0,0,15,0
2555,0,1,0,5,10,0
2556,0,0,0,0,16,0
2560,0,0,0,1,15,0
2562,0,0,0,1,15,0
2590,0,0,1,0,15,0
2591,1,0,0,0,15,0
2707,0,1,0,5,10,0
2708,0,0,0,1,15,0
2712,0,0,0,1,15,0
2738,0,0,1,0,15,0
2739,1,0,0,0,15,0
2855,1,0,0,0,15,0
2856,1,0,0,1,14,0
2862,1,0,0,0,15,0
3006,1,0,0,0,15,0
3013,1,0,0,0,15,0
3153,0,1,0,5,10,0
3154,0,0,0,0,16,0
3157,0,0,0,1,15,0
3161,0,0,0,0,16,0
3304,0,0,0,0,16,0
3308,0,0,0,0,16,0
3310,0,0,0,0,16,0
3312,0,0,0,0,16,0
3453,0,0,0,0,16,0
3459,0,0,0,3,13,0
3460,0,0,0,2,14,0
3461,0,0,0,0,16,0
3606,0,0,0,0,16,0
3612,0,0,0,0,16,0
3755,0,0,0,0,16,0
3758,0,0,0,0,16,0
3763,0,0,0,0,16,0
3906,0,0,0,3,13,0
3907,0,0,0,1,15,0
3913,0,0,0,0,16,0
4058,0,0,0,2,14,0
4059,0,0,0,2,14,0
4066,0,0,0,2,14,0
4089,0,0,1,1,14,0
4090,1,0,0,1,14,0
4096,1,0,1,0,14,0
4097,2,0,0,0,14,0
4207,0,2,0,1,13,0
4208,0,0,0,0,16,0
4209,0,0,0,0,16,0
4215,0,0,0,1,15,0
4245,0,0,1,0,15,0
4246,1,0,0,0,15,0
4358,0,1,0,4,11,0
4359,0,0,0,3,13,0
4363,0,0,0,2,14,0
4389,0,0,2,0,14,0
4390,2,0,0,0,14,0
4510,1,1,0,5,9,0
4511,1,0,0,0,15,0
4514,1,0,0,0,15,0
4657,1,0,0,0,15,0
4658,1,0,0,0,15,0
4668,0,1,0,4,11,0
4669,0,0,0,0,16,0
4806,0,0,0,1,15,0
4807,0,0,0,0,16,0
4822,0,0,0,1,15,0
4852,0,0,1,0,15,0
4853,1,0,0,0,15,0
4954,1,0,0,0,15,0
4956,1,0,0,0,15,0
4959,1,0,0,0,15,0
4974,0,1,0,4,11,0
4975,0,0,0,0,16,0
5103,0,0,0,0,16,0
5107,0,0,0,4,12,0
5108,0,0,0,2,14,0
5127,0,0,0,1,15,0
5157,0,0,1,0,15,0
5158,1,0,0,0,15,0
5253,1,0,0,0,15,0
5261,1,0,0,0,15,0
5277,0,1,0,2,13,0
5278,0,0,0,0,16,0
5408,0,0,0,0,16,0
5412,0,0,0,1,15,0
5428,0,0,0,0,16,0
5430,0,0,0,3,13,0
5460,0,0,3,0,13,0
5461,3,0,0,0,13,0
5561,2,1,0,4,9,0
5562,2,0,0,0,14,0
5565,2,0,0,0,14,0
5580,0,2,0,1,13,0
5581,0,0,0,0,16,0
5712,0,0,0,0,16,0
5717,0,0,0,0,16,0
5732,0,0,0,0,16,0
5733,0,0,0,3,13,0
5763,0,0,3,0,13,0
5764,3,0,0,0,13,0
5862,2,1,0,5,8,0
5863,2,0,0,0,14,0
5866,1,1,0,4,10,0
5867,1,0,0,0,15,0
5879,0,1,0,4,11,0
5880,0,0,0,0,16,0
6015,0,0,0,2,14,0
6019,0,0,0,2,14,0
6031,0,0,0,2,14,0
6049,0,0,1,1,14,0
6050,1,0,0,1,14,0
6061,1,0,1,0,14,0
6062,2,0,0,0,14,0
6168,1,1,0,4,10,0
6169,1,0,0,0,15,0
6170,1,0,0,0,15,0
6180,1,0,0,0,15,0
6316,1,0,0,1,14,0
6319,1,0,0,1,14,0
6331,0,1,0,2,13,0
6332,0,0,0,0,16,0
6465,0,0,0,0,16,0
6472,0,0,0,1,15,0
6478,0,0,0,0,16,0
6481,0,0,0,3,13,0
6511,0,0,3,0,13,0
6512,3,0,0,0,13,0
6613,2,1,0,4,9,0
6614,2,0,0,0,14,0
6623,1,1,0,4,10,0
6624,1,0,0,0,15,0
6627,1,0,0,0,15,0
6763,0,1,0,5,10,0
6764,0,0,0,0,16,0
6775,0,0,0,0,16,0
6777,0,0,0,1,15,0
6807,0,0,1,0,15,0
6808,1,0,0,0,15,0
6916,1,0,0,2,13,0
6926,0,1,0,7,8,0
6927,0,0,0,2,14,0
6946,0,0,1,1,14,0
6947,1,0,0,1,14,0
6957,1,0,1,0,14,0
6958,2,0,0,0,14,0
7068,0,2,0,4,10,0
7069,0,0,0,0,16,0
7078,0,0,0,0,16,0
7217,0,0,0,2,14,0
7226,0,0,0,2,14,0
7227,0,0,0,3,13,0
7247,0,0,1,2,13,0
7248,1,0,0,2,13,0
7256,1,0,1,1,13,0
7257,2,0,1,0,13,0
7258,3,0,0,0,13,0
7365,2,1,0,4,9,0
7366,2,0,0,0,14,0
7373,2,0,0,1,13,0
7378,2,0,0,0,14,0
7519,1,1,0,5,9,0
7520,1,0,0,0,15,0
7522,0,1,0,4,11,0
7523,0,0,0,1,15,0
7553,0,0,1,0,15,0
7554,1,0,0,0,15,0
7669,1,0,0,1,14,0
7673,0,1,0,5,10,0
7674,0,0,0,0,16,0
7819,0,0,0,0,16,0
7825,0,0,0,2,14,0
7826,0,0,0,2,14,0
7855,0,0,2,0,14,0
7856,2,0,0,0,14,0
7971,2,0,0,0,14,0
7974,0,2,0,4,10,0
7975,0,0,0,0,16,0
7977,0,0,0,0,16,0
8118,0,0,0,1,15,0
8125,0,0,0,2,14,0
8128,0,0,0,3,13,0
8155,0,0,2,1,13,0
8156,2,0,0,1,13,0
8158,2,0,1,0,13,0
8159,3,0,0,0,13,0
8270,2,1,0,4,9,0
8271,2,0,0,0,14,0
8276,0,2,0,1,13,0
8277,0,0,0,0,16,0
8422,0,0,0,0,16,0
8424,0,0,0,1,15,0
8425,0,0,0,0,16,0
8428,0,0,0,0,16,0
8571,0,0,0,0,16,0
8574,0,0,0,5,11,0
8576,0,0,0,2,14,0
8580,0,0,0,1,15,0
8610,0,0,1,0,15,0
8611,1,0,0,0,15,0
8717,0,1,0,5,10,0
8718,0,0,0,0,16,0
8728,0,0,0,3,13,0
8729,0,0,0,0,16,0
8869,0,0,0,2,14,0
8879,0,0,0,1,15,0
8881,0,0,0,3,13,0
8899,0,0,1,2,13,0
8900,1,0,0,2,13,0
8911,1,0,2,0,13,0
8912,3,0,0,0,13,0
9020,2,1,0,4,9,0
9021,2,0,0,0,14,0
9028,2,0,0,1,13,0
9029,2,0,0,0,14,0
9172,0,2,0,5,9,0
9173,0,0,0,0,16,0
9178,0,0,0,0,16,0
9180,0,0,0,0,16,0
9322,0,0,0,2,14,0
9331,0,0,0,1,15,0
9332,0,0,0,0,16,0
9471,0,0,0,1,15,0
9478,0,0,0,1,15,0
9480,0,0,0,1,15,0
9510,0,0,1,0,15,0
9511,1,0,0,0,15,0
9621,0,1,0,4,11,0
9622,0,0,0,0,16,0
9629,0,0,0,0,16,0
9630,0,0,0,2,14,0
9660,0,0,2,0,14,0
9661,2,0,0,0,14,0
9772,1,1,0,5,9,0
9773,1,0,0,1,14,0
9782,0,1,0,5,10,0
9783,0,0,0,2,14,0
9802,0,0,1,1,14,0
9803,1,0,0,1,14,0
9812,1,0,1,0,14,0
9813,2,0,0,0,14,0
9924,1,1,0,5,9,0
9925,1,0,0,0,15,0
9929,1,0,0,1,14,0
9934,1,0,0,0,15,0
10075,1,0,0,1,14,0
10080,1,0,0,1,14,0
10083,1,0,0,1,14,0
10105,1,0,1,0,14,0
10106,2,0,0,0,14,0
10223,1,1,0,2,12,0
10224,1,0,0,0,15,0
10227,0,1,0,4,11,0
10228,0,0,0,0,16,0
10236,0,0,0,0,16,0
10368,0,0,0,0,16,0
10373,0,0,0,0,16,0
10374,0,0,0,0,16,0
10385,0,0,0,0,16,0
10517,0,0,0,0,16,0
10522,0,0,0,0,16,0
10523,0,0,0,0,16,0
10536,0,0,0,0,16,0
10664,0,0,0,3,13,0
10671,0,0,0,1,15,0
10677,0,0,0,1,15,0
10685,0,0,0,2,14,0
10707,0,0,1,1,14,0
10708,1,0,0,1,14,0
10715,1,0,1,0,14,0
10716,2,0,0,0,14,0
10824,2,0,0,0,14,0
10827,1,1,0,5,9,0
10828,1,0,0,1,14,0
10832,0,1,0,5,10,0
10833,0,0,0,0,16,0
10974,0,0,0,1,15,0
10979,0,0,0,3,13,0
11009,0,0,3,0,13,0
11010,3,0,0,0,13,0
11124,2,1,0,4,9,0
