id,state_history
0,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 4, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 4, 'finish_time': 155.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 155.0, 'finish_time': 160.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 160.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 464.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 464.0, 'finish_time': 469.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 469.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 770.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 770.0, 'finish_time': 775.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 775.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 1074.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1074.0, 'finish_time': 1079.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1079.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1379.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1379.0, 'finish_time': 1384.0}]"
1,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 4, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 4, 'finish_time': 155.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 155.0, 'finish_time': 160.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 160.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 464.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 464.0, 'finish_time': 469.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 469.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 770.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 770.0, 'finish_time': 775.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 775.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 1074.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1074.0, 'finish_time': 1079.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1079.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1379.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1379.0, 'finish_time': 1384.0}]"
2,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 4, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 4, 'finish_time': 155.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 155.0, 'finish_time': 160.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 160.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 464.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 464.0, 'finish_time': 469.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 469.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 770.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 770.0, 'finish_time': 775.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 775.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 1074.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1074.0, 'finish_time': 1079.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1079.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1379.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1379.0, 'finish_time': 1384.0}]"
3,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 4, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 4, 'finish_time': 155.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 155.0, 'finish_time': 160.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 160.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 464.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 464.0, 'finish_time': 469.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 469.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 770.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 770.0, 'finish_time': 775.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 775.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 1074.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1074.0, 'finish_time': 1079.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1079.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1379.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1379.0, 'finish_time': 1384.0}]"
4,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 30, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 30, 'finish_time': 35, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 35, 'finish_time': 155.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 155.0, 'finish_time': 160.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 160.0, 'finish_time': 160.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 160.0, 'finish_time': 312.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 312.0, 'finish_time': 342.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 342.0, 'finish_time': 347.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 347.0, 'finish_time': 464.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 464.0, 'finish_time': 469.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 469.0, 'finish_time': 469.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 469.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 650.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 650.0, 'finish_time': 655.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 655.0, 'finish_time': 770.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 770.0, 'finish_time': 775.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 775.0, 'finish_time': 775.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 775.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 954.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 954.0, 'finish_time': 959.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 959.0, 'finish_time': 1074.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 1074.0, 'finish_time': 1079.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1079.0, 'finish_time': 1079.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1079.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1232.0, 'finish_time': 1237.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1237.0, 'finish_time': 1384.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1384.0, 'finish_time': 1384.0}]"
5,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 30, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 30, 'finish_time': 35, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 35, 'finish_time': 464.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 464.0, 'finish_time': 469.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 469.0, 'finish_time': 469.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 469.0, 'finish_time': 620.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 620.0, 'finish_time': 650.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 650.0, 'finish_time': 655.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 655.0, 'finish_time': 770.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 770.0, 'finish_time': 775.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 775.0, 'finish_time': 775.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 775.0, 'finish_time': 924.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 924.0, 'finish_time': 954.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 954.0, 'finish_time': 959.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 959.0, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 1232.0, 'finish_time': 1237.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1237.0, 'finish_time': 1237.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1237.0, 'finish_time': 1384.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1384.0, 'finish_time': 1384.0}]"
6,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 30, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 30, 'finish_time': 35, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 35, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 1232.0, 'finish_time': 1237.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1237.0, 'finish_time': 1237.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1237.0, 'finish_time': 1384.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1384.0, 'finish_time': 1384.0}]"
7,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 30, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 30, 'finish_time': 35, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 35, 'finish_time': 1232.0, 'dvfs_mode': 'base'}, {'state': 'switching_on', 'start_time': 1232.0, 'finish_time': 1237.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1237.0, 'finish_time': 1237.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1237.0, 'finish_time': 1384.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1384.0, 'finish_time': 1384.0}]"
