time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
6535,0,0,1,0,15,0
6540,1,0,0,0,15,0
6650,1,0,0,0,15,0
6651,0,1,0,4,11,0
6655,0,1,0,5,10,0
6656,0,0,0,0,16,0
6799,0,0,0,0,16,0
6804,0,0,0,1,15,0
6808,0,0,0,0,16,0
6809,0,0,0,1,15,0
6839,0,0,1,0,15,0
6844,1,0,0,0,15,0
6952,1,0,0,2,13,0
6955,1,0,0,0,15,0
6959,0,1,0,4,11,0
6960,0,1,0,4,11,0
6964,0,0,0,0,16,0
7104,0,0,0,0,16,0
7112,0,0,0,0,16,0
7114,0,0,0,1,15,0
7144,0,0,1,0,15,0
7149,1,0,0,0,15,0
7252,1,0,0,0,15,0
7256,0,1,0,4,11,0
7261,0,0,0,0,16,0
7262,0,0,0,0,16,0
7263,0,0,0,1,15,0
7293,0,0,1,0,15,0
7298,1,0,0,0,15,0
7403,0,1,0,2,13,0
7408,0,0,0,2,14,0
7412,0,0,0,0,16,0
7413,0,0,0,0,16,0
7560,0,0,0,2,14,0
7561,0,0,0,1,15,0
7562,0,0,0,1,15,0
7590,0,0,1,0,15,0
7595,1,0,0,0,15,0
7707,0,1,0,5,10,0
7709,0,1,0,9,6,0
7711,0,1,0,6,9,0
7712,0,0,0,1,15,0
7741,0,0,1,0,15,0
7746,1,0,0,0,15,0
7863,0,1,0,1,14,0
7865,0,1,0,1,14,0
7868,0,0,0,0,16,0
8012,0,0,0,0,16,0
8013,0,0,0,0,16,0
8015,0,0,0,4,12,0
8017,0,0,0,0,16,0
8163,0,0,0,0,16,0
8164,0,0,0,0,16,0
8166,0,0,0,0,16,0
8311,0,0,0,1,15,0
8314,0,0,0,0,16,0
8315,0,0,0,1,15,0
8345,0,0,1,0,15,0
8350,1,0,0,0,15,0
8459,0,1,0,2,13,0
8464,0,0,0,2,14,0
8465,0,0,0,1,15,0
8467,0,0,0,2,14,0
8494,0,0,1,1,14,0
8497,0,0,2,0,14,0
8499,1,0,1,0,14,0
8502,2,0,0,0,14,0
8612,0,2,0,3,11,0
8617,0,0,0,1,15,0
8618,0,0,0,1,15,0
8648,0,0,1,0,15,0
8653,1,0,0,0,15,0
8766,0,1,0,3,12,0
8768,0,1,0,2,13,0
8771,0,0,0,0,16,0
8913,0,0,0,2,14,0
8920,0,0,0,0,16,0
8921,0,0,0,4,12,0
8926,0,0,0,1,15,0
8956,0,0,1,0,15,0
8961,1,0,0,0,15,0
9066,1,0,0,0,15,0
9071,0,1,0,5,10,0
9076,0,0,0,1,15,0
9106,0,0,1,0,15,0
9111,1,0,0,0,15,0
9215,0,1,0,4,11,0
9220,0,0,0,0,16,0
9222,0,0,0,0,16,0
9228,0,0,0,1,15,0
9258,0,0,1,0,15,0
9263,1,0,0,0,15,0
9367,0,1,0,5,10,0
9372,0,0,0,0,16,0
9374,0,0,0,0,16,0
9379,0,0,0,1,15,0
9409,0,0,1,0,15,0
9414,1,0,0,0,15,0
9521,0,1,0,2,13,0
9522,0,1,0,2,13,0
9526,0,0,0,0,16,0
9528,0,0,0,1,15,0
9558,0,0,1,0,15,0
9563,1,0,0,0,15,0
9670,0,1,0,5,10,0
9672,0,1,0,5,10,0
9675,0,0,0,0,16,0
9676,0,0,0,0,16,0
9822,0,0,0,0,16,0
9823,0,0,0,1,15,0
9827,0,0,0,2,14,0
9857,0,0,2,0,14,0
9862,2,0,0,0,14,0
9972,0,2,0,4,10,0
9973,0,2,0,3,11,0
9975,0,2,0,3,11,0
9977,0,0,0,0,16,0
10122,0,0,0,0,16,0
10124,0,0,0,0,16,0
10125,0,0,0,1,15,0
10127,0,0,0,1,15,0
10155,0,0,1,0,15,0
10160,1,0,0,0,15,0
10272,0,1,0,4,11,0
10274,0,1,0,4,11,0
10276,0,1,0,4,11,0
10277,0,0,0,0,16,0
10419,0,0,0,0,16,0
10424,0,0,0,2,14,0
10426,0,0,0,0,16,0
10430,0,0,0,1,15,0
10460,0,0,1,0,15,0
10465,1,0,0,0,15,0
10566,1,0,0,0,15,0
10574,0,1,0,3,12,0
10576,0,1,0,2,13,0
10579,0,0,0,0,16,0
10580,0,0,0,0,16,0
10714,0,0,0,0,16,0
10726,0,0,0,0,16,0
10727,0,0,0,0,16,0
10729,0,0,0,0,16,0
10862,0,0,0,1,15,0
10876,0,0,0,0,16,0
10877,0,0,0,0,16,0
10878,0,0,0,0,16,0
11010,0,0,0,0,16,0
11027,0,0,0,1,15,0
11028,0,0,0,1,15,0
11058,0,0,1,0,15,0
11063,1,0,0,0,15,0
11159,1,0,0,0,15,0
11178,0,1,0,4,11,0
11180,0,1,0,4,11,0
11181,0,1,0,8,7,0
11183,0,0,0,4,12,0
11211,0,0,4,0,12,0
11216,4,0,0,0,12,0
11311,2,2,0,3,9,0
11316,2,0,0,0,14,0
11328,0,2,0,4,10,0
11331,0,2,0,3,11,0
11333,0,0,0,1,15,0
11361,0,0,1,0,15,0
11366,1,0,0,0,15,0
11465,1,0,0,1,14,0
11480,0,1,0,2,13,0
11481,0,1,0,2,13,0
11485,0,0,0,0,16,0
11618,0,0,0,0,16,0
11628,0,0,0,0,16,0
11632,0,0,0,0,16,0
11637,0,0,0,3,13,0
11667,0,0,3,0,13,0
11672,3,0,0,0,13,0
11766,2,1,0,4,9,0
11771,2,0,0,0,14,0
11780,2,0,0,1,13,0
11784,2,0,0,0,14,0
11919,2,0,0,0,14,0
11932,2,0,0,0,14,0
11936,2,0,0,0,14,0
12067,1,1,0,5,9,0
12072,1,0,0,0,15,0
12084,0,1,0,5,10,0
12085,0,1,0,5,10,0
12089,0,0,0,0,16,0
12219,0,0,0,0,16,0
12236,0,0,0,0,16,0
12241,0,0,0,2,14,0
12271,0,0,2,0,14,0
12276,2,0,0,0,14,0
12371,0,2,0,6,8,0
12376,0,0,0,0,16,0
12384,0,0,0,0,16,0
12388,0,0,0,0,16,0
12523,0,0,0,0,16,0
12526,0,0,0,0,16,0
12535,0,0,0,4,12,0
12539,0,0,0,2,14,0
12569,0,0,2,0,14,0
12574,2,0,0,0,14,0
12670,0,2,0,3,11,0
12675,0,0,0,1,15,0
12677,0,0,0,1,15,0
12693,0,0,0,2,14,0
12700,0,0,1,1,14,0
12705,1,0,0,1,14,0
12723,1,0,1,0,14,0
12728,2,0,0,0,14,0
12825,1,1,0,4,10,0
12826,1,1,0,4,10,0
12830,1,0,0,1,14,0
12845,0,1,0,2,13,0
12850,0,0,0,0,16,0
12978,0,0,0,3,13,0
12998,0,0,0,2,14,0
13001,0,0,0,0,16,0
13128,0,0,0,1,15,0
13146,0,0,0,1,15,0
13155,0,0,0,0,16,0
13277,0,0,0,0,16,0
13294,0,0,0,0,16,0
13307,0,0,0,1,15,0
13337,0,0,1,0,15,0
13342,1,0,0,0,15,0
13427,1,0,0,1,14,0
13446,0,1,0,2,13,0
13451,0,0,0,0,16,0
13459,0,0,0,1,15,0
13489,0,0,1,0,15,0
13494,1,0,0,0,15,0
13576,1,0,0,1,14,0
13595,0,1,0,5,10,0
13598,0,1,0,5,10,0
13600,0,0,0,0,16,0
13608,0,0,0,0,16,0
13724,0,0,0,3,13,0
13749,0,0,0,2,14,0
13751,0,0,0,0,16,0
13758,0,0,0,0,16,0
13902,0,0,0,2,14,0
13903,0,0,0,1,15,0
13908,0,0,0,1,15,0
13933,0,0,1,0,15,0
13938,1,0,0,0,15,0
14046,0,1,0,2,13,0
14051,0,0,0,0,16,0
14054,0,0,0,1,15,0
14057,0,0,0,0,16,0
14200,0,0,0,0,16,0
14203,0,0,0,0,16,0
14205,0,0,0,1,15,0
14235,0,0,1,0,15,0
14240,1,0,0,0,15,0
14350,1,0,0,4,11,0
14351,0,1,0,7,8,0
14352,0,1,0,7,8,0
14356,0,0,0,1,15,0
14381,0,0,1,0,15,0
14386,1,0,0,0,15,0
14505,1,0,0,0,15,0
14507,1,0,0,0,15,0
14655,0,1,0,2,13,0
14656,0,1,0,4,11,0
14660,0,0,0,2,14,0
14686,0,0,2,0,14,0
14691,2,0,0,0,14,0
14806,1,1,0,5,9,0
14811,1,0,0,2,13,0
14813,0,1,0,5,10,0
14818,0,0,0,1,15,0
14843,0,0,1,0,15,0
14848,1,0,0,0,15,0
14957,0,1,0,2,13,0
14960,0,1,0,2,13,0
14962,0,0,0,0,16,0
14970,0,0,0,0,16,0
15106,0,0,0,0,16,0
15111,0,0,0,0,16,0
15113,0,0,0,0,16,0
15120,0,0,0,1,15,0
15150,0,0,1,0,15,0
15155,1,0,0,0,15,0
15255,1,0,0,0,15,0
15260,1,0,0,1,14,0
15272,0,1,0,5,10,0
15277,0,0,0,1,15,0
15290,0,0,1,0,15,0
15295,1,0,0,0,15,0
15406,0,1,0,4,11,0
15411,0,0,0,2,14,0
15425,0,0,0,0,16,0
15559,0,0,0,0,16,0
15571,0,0,0,4,12,0
15574,0,0,0,1,15,0
15604,0,0,1,0,15,0
15609,1,0,0,0,15,0
15708,0,1,0,5,10,0
15709,0,1,0,5,10,0
15713,0,0,0,0,16,0
15723,0,0,0,1,15,0
15753,0,0,1,0,15,0
15758,1,0,0,0,15,0
15860,0,1,0,4,11,0
15862,0,1,0,4,11,0
15865,0,0,0,0,16,0
15874,0,0,0,0,16,0
16013,0,0,0,0,16,0
16018,0,0,0,0,16,0
16020,0,0,0,0,16,0
16165,0,0,0,1,15,0
16168,0,0,0,2,14,0
16172,0,0,0,2,14,0
16195,0,0,1,1,14,0
16198,0,0,2,0,14,0
16200,1,0,1,0,14,0
16203,2,0,0,0,14,0
16313,0,2,0,2,12,0
16318,0,0,0,0,16,0
16319,0,0,0,0,16,0
16322,0,0,0,1,15,0
16352,0,0,1,0,15,0
16357,1,0,0,0,15,0
16463,1,0,0,3,12,0
16467,1,0,0,0,15,0
16471,0,1,0,4,11,0
16472,0,1,0,5,10,0
16476,0,0,0,1,15,0
16502,0,0,1,0,15,0
16507,1,0,0,0,15,0
16618,1,0,0,1,14,0
16622,1,0,0,1,14,0
