type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,2,0 1 2 3,-1,0
idle,0,23,4 5 6,-1,0
idle,0,174,7,-1,0
computing,2,146,0 1 2 3,1,2
computing,23,174,4 5 6,2,23
idle,146,146,0 1 2 3,-1,146
computing,146,296,0 1 2 3,3,31
idle,174,174,4 5 6,-1,174
computing,174,325,4 5,4,34
computing,174,327,6 7,9,78
idle,296,296,0 1 2 3,-1,296
computing,296,444,0 1 2 3,5,47
idle,325,327,4 5,-1,325
idle,327,327,6 7,-1,327
computing,327,476,4 5 6 7,6,47
idle,444,444,0 1 2,-1,444
idle,444,476,3,-1,444
computing,444,592,0 1 2,7,55
idle,476,476,4 5 6,-1,476
idle,476,592,7,-1,476
computing,476,626,3 4 5 6,8,64
idle,592,592,0 1 2,-1,592
computing,592,745,0 1 2 7,10,89
idle,626,626,3 4 5,-1,626
idle,626,745,6,-1,626
computing,626,776,3 4 5,11,97
idle,745,745,0 1 2,-1,745
idle,745,776,7,-1,745
computing,745,896,0 1 2 6,12,97
idle,776,776,3 4 5,-1,776
computing,776,924,5 7,14,117
computing,776,927,3 4,13,111
idle,896,896,0 1,-1,896
idle,896,924,2 6,-1,896
computing,896,1046,0 1,15,126
idle,924,924,5,-1,924
idle,924,927,7,-1,924
computing,924,1074,2 5 6,16,127
idle,927,927,3 4,-1,927
computing,927,1079,3 4 7,17,134
idle,1046,1074,0 1,-1,1046
idle,1074,1074,2,-1,1074
idle,1074,1079,5 6,-1,1074
computing,1074,1221,0 1 2,18,134
idle,1079,1079,3 4,-1,1079
idle,1079,1221,7,-1,1079
computing,1079,1227,3 4 5 6,19,136
idle,1221,1221,0 1 2,-1,1221
computing,1221,1372,0 1 2 7,20,138
idle,1227,1372,3 4 5 6,-1,1227
idle,1372,1372,0 1 2 7,-1,1372
