time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],8,"[0, 1, 2, 3, 4, 5, 6, 7]",0,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 6, 'finish_time': 53}, {'job_id': 2, 'nodes': [3, 4], 'starting_time': 7, 'finish_time': 57}, {'job_id': 3, 'nodes': [5, 6, 7], 'starting_time': 14, 'finish_time': 68}]",0
6,0,[],0,[],0,[],5,"[3, 4, 5, 6, 7]",3,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 6, 'finish_time': 53}, {'job_id': 2, 'nodes': [3, 4], 'starting_time': 7, 'finish_time': 57}, {'job_id': 3, 'nodes': [5, 6, 7], 'starting_time': 14, 'finish_time': 68}]",0
7,0,[],0,[],0,[],3,"[5, 6, 7]",5,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 6, 'finish_time': 53}, {'job_id': 2, 'nodes': [3, 4], 'starting_time': 7, 'finish_time': 57}, {'job_id': 3, 'nodes': [5, 6, 7], 'starting_time': 14, 'finish_time': 68}]",0
14,0,[],0,[],0,[],0,[],8,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 6, 'finish_time': 53}, {'job_id': 2, 'nodes': [3, 4], 'starting_time': 7, 'finish_time': 57}, {'job_id': 3, 'nodes': [5, 6, 7], 'starting_time': 14, 'finish_time': 68}]",0
53,0,[],0,[],0,[],0,[],8,"[{'job_id': 2, 'nodes': [3, 4], 'starting_time': 7, 'finish_time': 57}, {'job_id': 3, 'nodes': [5, 6, 7], 'starting_time': 14, 'finish_time': 68}, {'job_id': 4, 'nodes': [0, 1, 2], 'starting_time': 53, 'finish_time': 104}]",0
57,0,[],0,[],0,[],1,[4],7,"[{'job_id': 3, 'nodes': [5, 6, 7], 'starting_time': 14, 'finish_time': 68}, {'job_id': 4, 'nodes': [0, 1, 2], 'starting_time': 53, 'finish_time': 104}, {'job_id': 15, 'nodes': [3], 'starting_time': 57, 'finish_time': 109}]",0
68,0,[],0,[],0,[],0,[],8,"[{'job_id': 4, 'nodes': [0, 1, 2], 'starting_time': 53, 'finish_time': 104}, {'job_id': 15, 'nodes': [3], 'starting_time': 57, 'finish_time': 109}, {'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 68, 'finish_time': 117}]",0
104,0,[],0,[],0,[],0,[],8,"[{'job_id': 15, 'nodes': [3], 'starting_time': 57, 'finish_time': 109}, {'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 68, 'finish_time': 117}, {'job_id': 6, 'nodes': [0, 1, 2], 'starting_time': 104, 'finish_time': 153}]",0
109,0,[],0,[],0,[],1,[3],7,"[{'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 68, 'finish_time': 117}, {'job_id': 6, 'nodes': [0, 1, 2], 'starting_time': 104, 'finish_time': 153}]",0
117,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 6, 'nodes': [0, 1, 2], 'starting_time': 104, 'finish_time': 153}, {'job_id': 7, 'nodes': [3, 4, 5], 'starting_time': 117, 'finish_time': 166}]",0
147,0,[],0,[],2,"[6, 7]",0,[],6,"[{'job_id': 6, 'nodes': [0, 1, 2], 'starting_time': 104, 'finish_time': 153}, {'job_id': 7, 'nodes': [3, 4, 5], 'starting_time': 117, 'finish_time': 166}]",0
152,2,"[6, 7]",0,[],0,[],0,[],6,"[{'job_id': 6, 'nodes': [0, 1, 2], 'starting_time': 104, 'finish_time': 153}, {'job_id': 7, 'nodes': [3, 4, 5], 'starting_time': 117, 'finish_time': 166}]",0
153,1,[7],1,[6],0,[],3,"[0, 1, 2]",3,"[{'job_id': 7, 'nodes': [3, 4, 5], 'starting_time': 117, 'finish_time': 166}, {'job_id': 8, 'nodes': [0, 1, 2, 6], 'starting_time': 158, 'finish_time': 208}]",0
158,1,[7],0,[],0,[],0,[],7,"[{'job_id': 7, 'nodes': [3, 4, 5], 'starting_time': 117, 'finish_time': 166}, {'job_id': 8, 'nodes': [0, 1, 2, 6], 'starting_time': 158, 'finish_time': 208}]",0
166,1,[7],0,[],0,[],1,[5],6,"[{'job_id': 8, 'nodes': [0, 1, 2, 6], 'starting_time': 158, 'finish_time': 208}, {'job_id': 10, 'nodes': [3, 4], 'starting_time': 166, 'finish_time': 214}]",0
196,1,[7],0,[],1,[5],0,[],6,"[{'job_id': 8, 'nodes': [0, 1, 2, 6], 'starting_time': 158, 'finish_time': 208}, {'job_id': 10, 'nodes': [3, 4], 'starting_time': 166, 'finish_time': 214}]",0
201,2,"[5, 7]",0,[],0,[],0,[],6,"[{'job_id': 8, 'nodes': [0, 1, 2, 6], 'starting_time': 158, 'finish_time': 208}, {'job_id': 10, 'nodes': [3, 4], 'starting_time': 166, 'finish_time': 214}]",0
208,1,[7],1,[5],0,[],4,"[0, 1, 2, 6]",2,"[{'job_id': 10, 'nodes': [3, 4], 'starting_time': 166, 'finish_time': 214}, {'job_id': 9, 'nodes': [0, 1, 2, 6, 5], 'starting_time': 213, 'finish_time': 263}]",0
213,1,[7],0,[],0,[],0,[],7,"[{'job_id': 10, 'nodes': [3, 4], 'starting_time': 166, 'finish_time': 214}, {'job_id': 9, 'nodes': [0, 1, 2, 6, 5], 'starting_time': 213, 'finish_time': 263}]",0
214,0,[],1,[7],0,[],2,"[3, 4]",5,"[{'job_id': 9, 'nodes': [0, 1, 2, 6, 5], 'starting_time': 213, 'finish_time': 263}, {'job_id': 11, 'nodes': [3, 4, 7], 'starting_time': 219, 'finish_time': 267}]",0
219,0,[],0,[],0,[],0,[],8,"[{'job_id': 9, 'nodes': [0, 1, 2, 6, 5], 'starting_time': 213, 'finish_time': 263}, {'job_id': 11, 'nodes': [3, 4, 7], 'starting_time': 219, 'finish_time': 267}]",0
263,0,[],0,[],0,[],0,[],8,"[{'job_id': 11, 'nodes': [3, 4, 7], 'starting_time': 219, 'finish_time': 267}, {'job_id': 12, 'nodes': [0, 1], 'starting_time': 263, 'finish_time': 312}, {'job_id': 13, 'nodes': [2, 5, 6], 'starting_time': 263, 'finish_time': 315}]",0
267,0,[],0,[],0,[],3,"[3, 4, 7]",5,"[{'job_id': 12, 'nodes': [0, 1], 'starting_time': 263, 'finish_time': 312}, {'job_id': 13, 'nodes': [2, 5, 6], 'starting_time': 263, 'finish_time': 315}]",0
297,0,[],0,[],3,"[3, 4, 7]",0,[],5,"[{'job_id': 12, 'nodes': [0, 1], 'starting_time': 263, 'finish_time': 312}, {'job_id': 13, 'nodes': [2, 5, 6], 'starting_time': 263, 'finish_time': 315}]",0
302,3,"[3, 4, 7]",0,[],0,[],0,[],5,"[{'job_id': 12, 'nodes': [0, 1], 'starting_time': 263, 'finish_time': 312}, {'job_id': 13, 'nodes': [2, 5, 6], 'starting_time': 263, 'finish_time': 315}]",0
312,1,[7],2,"[3, 4]",0,[],2,"[0, 1]",3,"[{'job_id': 13, 'nodes': [2, 5, 6], 'starting_time': 263, 'finish_time': 315}]",0
315,1,[7],2,"[3, 4]",0,[],3,"[0, 1, 6]",2,"[{'job_id': 16, 'nodes': [2, 5], 'starting_time': 315, 'finish_time': 361}, {'job_id': 14, 'nodes': [0, 1, 3, 4], 'starting_time': 317, 'finish_time': 369}]",0
317,1,[7],0,[],0,[],1,[6],6,"[{'job_id': 16, 'nodes': [2, 5], 'starting_time': 315, 'finish_time': 361}, {'job_id': 14, 'nodes': [0, 1, 3, 4], 'starting_time': 317, 'finish_time': 369}]",0
345,1,[7],0,[],1,[6],0,[],6,"[{'job_id': 16, 'nodes': [2, 5], 'starting_time': 315, 'finish_time': 361}, {'job_id': 14, 'nodes': [0, 1, 3, 4], 'starting_time': 317, 'finish_time': 369}]",0
