type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,5,0 1 2 3,-1,0
idle,0,14,4 5 6,-1,0
idle,0,30,7,-1,0
computing,5,59,0 1 2 3,1,5
computing,14,66,4 5 6,2,14
switching_off,30,35,7,-2,30
sleeping,35,106,7,-4,35
idle,59,59,0 1 2 3,-1,59
computing,59,106,0 1 2 3,3,20
idle,66,66,4 5 6,-1,66
computing,66,117,4 5 6,10,64
idle,106,111,0 1 2 3,-1,106
switching_on,106,111,7,-3,106
idle,111,111,7,-1,111
computing,111,161,0 1 2 3 7,4,24
idle,117,117,4 5,-1,117
idle,117,147,6,-1,117
computing,117,168,4 5,11,67
switching_off,147,152,6,-2,147
sleeping,152,168,6,-4,152
idle,161,161,0 1 2 3 7,-1,161
computing,161,209,0 1 2 3 7,5,27
idle,168,173,4 5,-1,168
switching_on,168,173,6,-3,168
idle,173,173,6,-1,173
computing,173,227,4 5 6,14,82
idle,209,209,0 1 2 3,-1,209
idle,209,227,7,-1,209
computing,209,257,0 1 2 3,6,28
idle,227,227,4 5 6,-1,227
computing,227,278,4 5 6 7,7,29
idle,257,257,0 1 2 3,-1,257
computing,257,308,0 1 2 3,8,29
idle,278,278,4 5 6 7,-1,278
computing,278,330,4 5 6 7,9,35
idle,308,308,0 1 2 3,-1,308
computing,308,359,0 1 2 3,12,69
idle,330,330,4 5 6 7,-1,330
computing,330,381,4 5 6 7,13,80
idle,359,359,0 1 2 3,-1,359
computing,359,408,0 1 2 3,15,84
idle,381,381,4 5 6 7,-1,381
computing,381,429,4 5 6 7,16,94
idle,408,408,0 1 2 3,-1,408
computing,408,458,2 3,19,114
computing,408,460,0 1,17,100
idle,429,429,4 5 6,-1,429
idle,429,459,7,-1,429
computing,429,479,4 5 6,18,111
idle,458,469,2 3,-1,458
switching_off,459,464,7,-2,459
idle,460,469,0 1,-1,460
sleeping,464,464,7,-4,464
switching_on,464,469,7,-3,464
idle,469,469,7,-1,469
computing,469,516,0 1 2 3 7,20,117
idle,479,509,4 5 6,-1,479
switching_off,509,514,4 5 6,-2,509
sleeping,514,516,4 5 6,-4,514
idle,516,516,0 1 2 3 7,-1,516
