time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],8,"[0, 1, 2, 3, 4, 5, 6, 7]",0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 1, 'finish_time': 52}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 3, 'finish_time': 51}, {'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}]",0
1,0,[],0,[],0,[],4,"[4, 5, 6, 7]",4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 1, 'finish_time': 52}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 3, 'finish_time': 51}, {'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}]",0
3,0,[],0,[],0,[],1,[7],7,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 1, 'finish_time': 52}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 3, 'finish_time': 51}, {'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}]",0
30,0,[],0,[],1,[7],0,[],7,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 1, 'finish_time': 52}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 3, 'finish_time': 51}, {'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}]",0
35,1,[7],0,[],0,[],0,[],7,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 1, 'finish_time': 52}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 3, 'finish_time': 51}, {'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}]",0
40,0,[],1,[7],0,[],0,[],7,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 1, 'finish_time': 52}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 3, 'finish_time': 51}, {'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}]",0
45,0,[],0,[],0,[],0,[],8,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 1, 'finish_time': 52}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 3, 'finish_time': 51}, {'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}]",0
51,0,[],0,[],0,[],0,[],8,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 1, 'finish_time': 52}, {'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}, {'job_id': 3, 'nodes': [4, 5, 6], 'starting_time': 51, 'finish_time': 101}]",0
52,0,[],0,[],0,[],2,"[2, 3]",6,"[{'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}, {'job_id': 3, 'nodes': [4, 5, 6], 'starting_time': 51, 'finish_time': 101}, {'job_id': 4, 'nodes': [0, 1], 'starting_time': 52, 'finish_time': 102}]",0
82,0,[],0,[],2,"[2, 3]",0,[],6,"[{'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}, {'job_id': 3, 'nodes': [4, 5, 6], 'starting_time': 51, 'finish_time': 101}, {'job_id': 4, 'nodes': [0, 1], 'starting_time': 52, 'finish_time': 102}]",0
87,2,"[2, 3]",0,[],0,[],0,[],6,"[{'job_id': 9, 'nodes': [7], 'starting_time': 45, 'finish_time': 98}, {'job_id': 3, 'nodes': [4, 5, 6], 'starting_time': 51, 'finish_time': 101}, {'job_id': 4, 'nodes': [0, 1], 'starting_time': 52, 'finish_time': 102}]",0
98,0,[],2,"[2, 3]",0,[],1,[7],5,"[{'job_id': 3, 'nodes': [4, 5, 6], 'starting_time': 51, 'finish_time': 101}, {'job_id': 4, 'nodes': [0, 1], 'starting_time': 52, 'finish_time': 102}]",0
101,0,[],2,"[2, 3]",0,[],1,[7],5,"[{'job_id': 4, 'nodes': [0, 1], 'starting_time': 52, 'finish_time': 102}, {'job_id': 6, 'nodes': [4, 5, 6], 'starting_time': 101, 'finish_time': 150}]",0
102,0,[],2,"[2, 3]",0,[],1,[7],5,"[{'job_id': 6, 'nodes': [4, 5, 6], 'starting_time': 101, 'finish_time': 150}, {'job_id': 14, 'nodes': [0, 1], 'starting_time': 102, 'finish_time': 150}, {'job_id': 5, 'nodes': [7, 2, 3], 'starting_time': 103, 'finish_time': 154}]",0
103,0,[],0,[],0,[],0,[],8,"[{'job_id': 6, 'nodes': [4, 5, 6], 'starting_time': 101, 'finish_time': 150}, {'job_id': 14, 'nodes': [0, 1], 'starting_time': 102, 'finish_time': 150}, {'job_id': 5, 'nodes': [7, 2, 3], 'starting_time': 103, 'finish_time': 154}]",0
150,0,[],0,[],0,[],1,[6],7,"[{'job_id': 5, 'nodes': [7, 2, 3], 'starting_time': 103, 'finish_time': 154}, {'job_id': 7, 'nodes': [0, 1, 4], 'starting_time': 150, 'finish_time': 197}, {'job_id': 33, 'nodes': [5], 'starting_time': 150, 'finish_time': 198}]",0
154,0,[],0,[],0,[],0,[],8,"[{'job_id': 7, 'nodes': [0, 1, 4], 'starting_time': 150, 'finish_time': 197}, {'job_id': 33, 'nodes': [5], 'starting_time': 150, 'finish_time': 198}, {'job_id': 8, 'nodes': [2, 3, 6, 7], 'starting_time': 154, 'finish_time': 206}]",0
197,0,[],0,[],0,[],0,[],8,"[{'job_id': 33, 'nodes': [5], 'starting_time': 150, 'finish_time': 198}, {'job_id': 8, 'nodes': [2, 3, 6, 7], 'starting_time': 154, 'finish_time': 206}, {'job_id': 10, 'nodes': [0, 1, 4], 'starting_time': 197, 'finish_time': 246}]",0
198,0,[],0,[],0,[],0,[],8,"[{'job_id': 8, 'nodes': [2, 3, 6, 7], 'starting_time': 154, 'finish_time': 206}, {'job_id': 10, 'nodes': [0, 1, 4], 'starting_time': 197, 'finish_time': 246}, {'job_id': 42, 'nodes': [5], 'starting_time': 198, 'finish_time': 249}]",0
206,0,[],0,[],0,[],1,[7],7,"[{'job_id': 10, 'nodes': [0, 1, 4], 'starting_time': 197, 'finish_time': 246}, {'job_id': 42, 'nodes': [5], 'starting_time': 198, 'finish_time': 249}, {'job_id': 11, 'nodes': [2, 3, 6], 'starting_time': 206, 'finish_time': 255}]",0
236,0,[],0,[],1,[7],0,[],7,"[{'job_id': 10, 'nodes': [0, 1, 4], 'starting_time': 197, 'finish_time': 246}, {'job_id': 42, 'nodes': [5], 'starting_time': 198, 'finish_time': 249}, {'job_id': 11, 'nodes': [2, 3, 6], 'starting_time': 206, 'finish_time': 255}]",0
241,1,[7],0,[],0,[],0,[],7,"[{'job_id': 10, 'nodes': [0, 1, 4], 'starting_time': 197, 'finish_time': 246}, {'job_id': 42, 'nodes': [5], 'starting_time': 198, 'finish_time': 249}, {'job_id': 11, 'nodes': [2, 3, 6], 'starting_time': 206, 'finish_time': 255}]",0
246,1,[7],0,[],0,[],3,"[0, 1, 4]",4,"[{'job_id': 42, 'nodes': [5], 'starting_time': 198, 'finish_time': 249}, {'job_id': 11, 'nodes': [2, 3, 6], 'starting_time': 206, 'finish_time': 255}]",0
249,0,[],1,[7],0,[],4,"[0, 1, 4, 5]",3,"[{'job_id': 11, 'nodes': [2, 3, 6], 'starting_time': 206, 'finish_time': 255}, {'job_id': 12, 'nodes': [0, 1, 4, 5, 7], 'starting_time': 254, 'finish_time': 307}]",0
