time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],7,"[1, 2, 3, 4, 5, 6, 7]",1,"[{'job_id': 1, 'nodes': [0], 'starting_time': 0, 'finish_time': 51}, {'job_id': 2, 'nodes': [1, 2, 3], 'starting_time': 1, 'finish_time': 53}, {'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}]",0
1,0,[],0,[],0,[],4,"[4, 5, 6, 7]",4,"[{'job_id': 1, 'nodes': [0], 'starting_time': 0, 'finish_time': 51}, {'job_id': 2, 'nodes': [1, 2, 3], 'starting_time': 1, 'finish_time': 53}, {'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}]",0
30,0,[],0,[],4,"[4, 5, 6, 7]",0,[],4,"[{'job_id': 1, 'nodes': [0], 'starting_time': 0, 'finish_time': 51}, {'job_id': 2, 'nodes': [1, 2, 3], 'starting_time': 1, 'finish_time': 53}, {'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}]",0
35,2,"[6, 7]",2,"[4, 5]",0,[],0,[],4,"[{'job_id': 1, 'nodes': [0], 'starting_time': 0, 'finish_time': 51}, {'job_id': 2, 'nodes': [1, 2, 3], 'starting_time': 1, 'finish_time': 53}, {'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}]",0
40,2,"[6, 7]",0,[],0,[],0,[],6,"[{'job_id': 1, 'nodes': [0], 'starting_time': 0, 'finish_time': 51}, {'job_id': 2, 'nodes': [1, 2, 3], 'starting_time': 1, 'finish_time': 53}, {'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}]",0
51,0,[],2,"[6, 7]",0,[],1,[0],5,"[{'job_id': 2, 'nodes': [1, 2, 3], 'starting_time': 1, 'finish_time': 53}, {'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}]",0
53,0,[],2,"[6, 7]",0,[],4,"[0, 1, 2, 3]",2,"[{'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}, {'job_id': 4, 'nodes': [0, 6, 7], 'starting_time': 56, 'finish_time': 106}]",0
56,0,[],0,[],0,[],3,"[1, 2, 3]",5,"[{'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}, {'job_id': 4, 'nodes': [0, 6, 7], 'starting_time': 56, 'finish_time': 106}]",0
83,0,[],0,[],3,"[1, 2, 3]",0,[],5,"[{'job_id': 3, 'nodes': [4, 5], 'starting_time': 40, 'finish_time': 85}, {'job_id': 4, 'nodes': [0, 6, 7], 'starting_time': 56, 'finish_time': 106}]",0
85,0,[],0,[],3,"[1, 2, 3]",2,"[4, 5]",3,"[{'job_id': 4, 'nodes': [0, 6, 7], 'starting_time': 56, 'finish_time': 106}, {'job_id': 5, 'nodes': [4, 5, 1, 2], 'starting_time': 93, 'finish_time': 139}]",0
88,1,[3],2,"[1, 2]",0,[],2,"[4, 5]",3,"[{'job_id': 4, 'nodes': [0, 6, 7], 'starting_time': 56, 'finish_time': 106}, {'job_id': 5, 'nodes': [4, 5, 1, 2], 'starting_time': 93, 'finish_time': 139}]",0
93,1,[3],0,[],0,[],0,[],7,"[{'job_id': 4, 'nodes': [0, 6, 7], 'starting_time': 56, 'finish_time': 106}, {'job_id': 5, 'nodes': [4, 5, 1, 2], 'starting_time': 93, 'finish_time': 139}]",0
106,0,[],1,[3],0,[],3,"[0, 6, 7]",4,"[{'job_id': 5, 'nodes': [4, 5, 1, 2], 'starting_time': 93, 'finish_time': 139}, {'job_id': 6, 'nodes': [0, 6, 7, 3], 'starting_time': 111, 'finish_time': 162}]",0
111,0,[],0,[],0,[],0,[],8,"[{'job_id': 5, 'nodes': [4, 5, 1, 2], 'starting_time': 93, 'finish_time': 139}, {'job_id': 6, 'nodes': [0, 6, 7, 3], 'starting_time': 111, 'finish_time': 162}]",0
139,0,[],0,[],0,[],1,[5],7,"[{'job_id': 6, 'nodes': [0, 6, 7, 3], 'starting_time': 111, 'finish_time': 162}, {'job_id': 7, 'nodes': [1, 2, 4], 'starting_time': 139, 'finish_time': 187}]",0
162,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 7, 'nodes': [1, 2, 4], 'starting_time': 139, 'finish_time': 187}, {'job_id': 8, 'nodes': [0, 3, 5], 'starting_time': 162, 'finish_time': 212}]",0
187,0,[],0,[],0,[],1,[7],7,"[{'job_id': 8, 'nodes': [0, 3, 5], 'starting_time': 162, 'finish_time': 212}, {'job_id': 9, 'nodes': [1, 2, 4, 6], 'starting_time': 187, 'finish_time': 235}]",0
192,0,[],0,[],1,[7],0,[],7,"[{'job_id': 8, 'nodes': [0, 3, 5], 'starting_time': 162, 'finish_time': 212}, {'job_id': 9, 'nodes': [1, 2, 4, 6], 'starting_time': 187, 'finish_time': 235}]",0
197,1,[7],0,[],0,[],0,[],7,"[{'job_id': 8, 'nodes': [0, 3, 5], 'starting_time': 162, 'finish_time': 212}, {'job_id': 9, 'nodes': [1, 2, 4, 6], 'starting_time': 187, 'finish_time': 235}]",0
212,1,[7],0,[],0,[],0,[],7,"[{'job_id': 9, 'nodes': [1, 2, 4, 6], 'starting_time': 187, 'finish_time': 235}, {'job_id': 10, 'nodes': [0, 3, 5], 'starting_time': 212, 'finish_time': 263}]",0
235,0,[],1,[7],0,[],4,"[1, 2, 4, 6]",3,"[{'job_id': 10, 'nodes': [0, 3, 5], 'starting_time': 212, 'finish_time': 263}, {'job_id': 11, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 240, 'finish_time': 293}]",0
240,0,[],0,[],0,[],0,[],8,"[{'job_id': 10, 'nodes': [0, 3, 5], 'starting_time': 212, 'finish_time': 263}, {'job_id': 11, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 240, 'finish_time': 293}]",0
263,0,[],0,[],0,[],0,[],8,"[{'job_id': 11, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 240, 'finish_time': 293}, {'job_id': 13, 'nodes': [0, 3, 5], 'starting_time': 263, 'finish_time': 313}]",0
293,0,[],0,[],0,[],0,[],8,"[{'job_id': 13, 'nodes': [0, 3, 5], 'starting_time': 263, 'finish_time': 313}, {'job_id': 12, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 293, 'finish_time': 343}]",0
313,0,[],0,[],0,[],0,[],8,"[{'job_id': 12, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 293, 'finish_time': 343}, {'job_id': 16, 'nodes': [0, 3, 5], 'starting_time': 313, 'finish_time': 361}]",0
343,0,[],0,[],0,[],1,[7],7,"[{'job_id': 16, 'nodes': [0, 3, 5], 'starting_time': 313, 'finish_time': 361}, {'job_id': 14, 'nodes': [1, 2, 4, 6], 'starting_time': 343, 'finish_time': 396}]",0
361,0,[],0,[],0,[],1,[7],7,"[{'job_id': 14, 'nodes': [1, 2, 4, 6], 'starting_time': 343, 'finish_time': 396}, {'job_id': 17, 'nodes': [0, 3, 5], 'starting_time': 361, 'finish_time': 410}]",0
373,0,[],0,[],1,[7],0,[],7,"[{'job_id': 14, 'nodes': [1, 2, 4, 6], 'starting_time': 343, 'finish_time': 396}, {'job_id': 17, 'nodes': [0, 3, 5], 'starting_time': 361, 'finish_time': 410}]",0
378,1,[7],0,[],0,[],0,[],7,"[{'job_id': 14, 'nodes': [1, 2, 4, 6], 'starting_time': 343, 'finish_time': 396}, {'job_id': 17, 'nodes': [0, 3, 5], 'starting_time': 361, 'finish_time': 410}]",0
396,0,[],1,[7],0,[],4,"[1, 2, 4, 6]",3,"[{'job_id': 17, 'nodes': [0, 3, 5], 'starting_time': 361, 'finish_time': 410}, {'job_id': 15, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 401, 'finish_time': 451}]",0
401,0,[],0,[],0,[],0,[],8,"[{'job_id': 17, 'nodes': [0, 3, 5], 'starting_time': 361, 'finish_time': 410}, {'job_id': 15, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 401, 'finish_time': 451}]",0
410,0,[],0,[],0,[],0,[],8,"[{'job_id': 15, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 401, 'finish_time': 451}, {'job_id': 19, 'nodes': [0, 3, 5], 'starting_time': 410, 'finish_time': 461}]",0
451,0,[],0,[],0,[],0,[],8,"[{'job_id': 19, 'nodes': [0, 3, 5], 'starting_time': 410, 'finish_time': 461}, {'job_id': 18, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 451, 'finish_time': 500}]",0
461,0,[],0,[],0,[],0,[],8,"[{'job_id': 18, 'nodes': [1, 2, 4, 6, 7], 'starting_time': 451, 'finish_time': 500}, {'job_id': 20, 'nodes': [0, 3, 5], 'starting_time': 461, 'finish_time': 512}]",0
500,0,[],0,[],0,[],1,[7],7,"[{'job_id': 20, 'nodes': [0, 3, 5], 'starting_time': 461, 'finish_time': 512}, {'job_id': 21, 'nodes': [1, 2], 'starting_time': 500, 'finish_time': 550}, {'job_id': 29, 'nodes': [4, 6], 'starting_time': 500, 'finish_time': 549}]",0
512,0,[],0,[],0,[],0,[],8,"[{'job_id': 21, 'nodes': [1, 2], 'starting_time': 500, 'finish_time': 550}, {'job_id': 29, 'nodes': [4, 6], 'starting_time': 500, 'finish_time': 549}, {'job_id': 22, 'nodes': [0, 3, 5, 7], 'starting_time': 512, 'finish_time': 558}]",0
549,0,[],0,[],0,[],2,"[4, 6]",6,"[{'job_id': 21, 'nodes': [1, 2], 'starting_time': 500, 'finish_time': 550}, {'job_id': 22, 'nodes': [0, 3, 5, 7], 'starting_time': 512, 'finish_time': 558}]",0
550,0,[],0,[],0,[],1,[6],7,"[{'job_id': 22, 'nodes': [0, 3, 5, 7], 'starting_time': 512, 'finish_time': 558}, {'job_id': 25, 'nodes': [1, 2, 4], 'starting_time': 550, 'finish_time': 599}]",0
