type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,4,0 1 2 3,-1,0
idle,0,30,4 5 6 7,-1,0
computing,4,155,0 1 2 3,1,4
switching_off,30,35,4 5 6 7,-2,30
sleeping,35,150,4,-4,35
sleeping,35,454,5,-4,35
sleeping,35,1207,6 7,-4,35
switching_on,150,155,4,-3,150
idle,155,155,0 1 2 3 4,-1,155
computing,155,307,0 1 2 3 4,2,6
idle,307,307,0 1 2 3,-1,307
idle,307,337,4,-1,307
computing,307,459,0 1 2 3,3,8
switching_off,337,342,4,-2,337
sleeping,342,454,4,-4,342
switching_on,454,459,4 5,-3,454
idle,459,459,0 1 2 3 4 5,-1,459
computing,459,610,0 1 2 3 4 5,4,9
idle,610,610,0 1 2 3,-1,610
idle,610,640,4 5,-1,610
computing,610,760,0 1 2 3,5,11
switching_off,640,645,4 5,-2,640
sleeping,645,755,4 5,-4,645
switching_on,755,760,4 5,-3,755
idle,760,760,0 1 2 3 4 5,-1,760
computing,760,909,0 1 2 3 4 5,6,12
idle,909,909,0 1 2 3,-1,909
idle,909,939,4 5,-1,909
computing,909,1059,0 1 2 3,7,14
switching_off,939,944,4 5,-2,939
sleeping,944,1054,4,-4,944
sleeping,944,1207,5,-4,944
switching_on,1054,1059,4,-3,1054
idle,1059,1059,0 1 2 3 4,-1,1059
computing,1059,1212,0 1 2 3 4,8,14
switching_on,1207,1212,5 6 7,-3,1207
idle,1212,1212,0 1 2 3 4 5 6 7,-1,1212
computing,1212,1359,0 1 2 3,9,17
computing,1212,1359,4 5 6 7,10,18
idle,1359,1359,0 1 2 3 4 5 6 7,-1,1359
