time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
246.0,4,"[12, 13, 14, 15]",0,[],0,[],0,[],12,"[{'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 171.0, 'finish_time': 322.0}, {'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 171.0, 'finish_time': 322.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 201.0, 'finish_time': 353.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 201.0, 'finish_time': 353.0}, {'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}]",0
322.0,0,[],4,"[12, 13, 14, 15]",0,[],4,"[0, 1, 2, 3]",8,"[{'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 201.0, 'finish_time': 353.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 201.0, 'finish_time': 353.0}, {'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}]",0
327.0,0,[],0,[],0,[],2,"[14, 15]",14,"[{'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 201.0, 'finish_time': 353.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 201.0, 'finish_time': 353.0}, {'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}]",0
353.0,0,[],0,[],0,[],2,"[14, 15]",14,"[{'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}]",0
357.0,0,[],0,[],2,"[14, 15]",0,[],14,"[{'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 6, 'nodes': [8, 9, 10, 11], 'starting_time': 211.0, 'finish_time': 361.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}]",0
361.0,0,[],0,[],2,"[14, 15]",1,[11],13,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}]",0
362.0,2,"[14, 15]",0,[],0,[],1,[11],13,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}]",0
391.0,2,"[14, 15]",0,[],1,[11],0,[],13,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}]",0
396.0,3,"[11, 14, 15]",0,[],0,[],0,[],13,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 12, 13], 'starting_time': 327.0, 'finish_time': 474.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}]",0
474.0,3,"[11, 14, 15]",0,[],0,[],2,"[12, 13]",11,"[{'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7], 'starting_time': 353.0, 'finish_time': 503.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}]",0
503.0,2,"[14, 15]",1,[11],0,[],6,"[4, 5, 6, 7, 12, 13]",7,"[{'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}]",0
504.0,2,"[14, 15]",1,[11],2,"[12, 13]",4,"[4, 5, 6, 7]",7,"[{'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}]",0
508.0,1,[15],1,[14],2,"[12, 13]",5,"[4, 5, 6, 7, 11]",7,"[{'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}]",0
509.0,3,"[12, 13, 15]",1,[14],0,[],5,"[4, 5, 6, 7, 11]",7,"[{'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 9, 'nodes': [8, 9, 10], 'starting_time': 361.0, 'finish_time': 512.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}, {'job_id': 10, 'nodes': [0, 1, 2, 3], 'starting_time': 474.0, 'finish_time': 620.0}]",0
